Time,CPU usage(%),Total CPU cores,Memory usage,Total memory,IO/sec in,IO/sec out,Network IO in,Network IO in,Swap total,Swap used
09:18:50,3.7,1,655880,1877,0,0,0,1,4031,1696
09:19:00,0.5,1,655344,1877,0,0,0,0,4031,1696
09:19:10,0.8,1,661272,1877,0,0,0,0,4031,1696
09:19:20,0.4,1,660996,1877,0,0,0,0,4031,1696
09:19:30,0.3,1,660208,1877,0,0,0,0,4031,1696
09:19:40,0.4,1,659436,1877,0,0,0,0,4031,1696
09:19:50,0.5,1,658656,1877,0,0,0,0,4031,1696
09:20:00,0.4,1,657876,1877,0,0,0,0,4031,1696
09:20:10,0.9,1,664320,1877,0,0,0,0,4031,1696
09:21:10,10.0,1,670224,1877,0,0,0,0,4031,1696
09:21:20,0.5,1,669696,1877,0,0,0,0,4031,1696
09:21:30,0.4,1,668916,1877,0,0,0,0,4031,1696
09:21:40,0.7,1,659204,1877,0,0,1,0,4031,1696
09:21:50,1.3,1,667252,1877,0,0,0,0,4031,1696
09:22:00,0.2,1,666840,1877,0,0,0,0,4031,1696
09:22:10,0.7,1,673024,1877,0,0,0,0,4031,1696
09:22:20,0.3,1,672380,1877,0,0,0,0,4031,1696
09:22:30,0.3,1,671596,1877,0,0,0,0,4031,1696
